lag_minutes,lag_hours,rho_total,rho_total_fit,rho_state_within_record,rho_state_fit,n_pairs
0,0.0,1.0000000000000007,1.0,1.0,1.0,116055
1,0.016666666666666666,0.9898082269775372,0.9985733381328721,0.9567520530718876,0.9917312475051652,115971
2,0.03333333333333333,0.983685402870212,0.9971529595791304,0.9307296123905673,0.9835308672781512,115887
3,0.05,0.9805694171473369,0.9957388366657656,0.917451762408447,0.9753982939655979,115803
4,0.06666666666666667,0.9785133529204256,0.9943309418416462,0.9087188999253297,0.9673329668889121,115719
5,0.08333333333333333,0.9772082421079926,0.9929292476769811,0.9031603075478224,0.9593343300056135,115635
6,0.1,0.975513826564836,0.9915337268627864,0.8958931161290647,0.9514018318709989,115551
7,0.11666666666666667,0.9741178455031628,0.990144352210352,0.8898691249922744,0.9435349256001251,115467
8,0.13333333333333333,0.9723567390254363,0.9887610966507127,0.8822100896957396,0.9357330688301053,115383
9,0.15,0.9707390288118879,0.9873839332341205,0.8752375581045052,0.9279957236827169,115299
10,0.16666666666666666,0.969691964868333,0.9860128351295199,0.8707536811847085,0.9203223567273193,115215
11,0.18333333333333332,0.9683285903024534,0.9846477756240244,0.8649324880311595,0.912712438944078,115131
12,0.2,0.9670683498055757,0.9832887281223974,0.859553362478627,0.9051654456874924,115047
13,0.21666666666666667,0.9660660432579559,0.9819356661465325,0.8552455869502946,0.8976808566502257,114963
14,0.23333333333333334,0.9646874634964323,0.9805885633349385,0.8493280934627363,0.8902581558272337,114879
15,0.25,0.963579800112902,0.9792473934422259,0.8445096415972358,0.8828968314801902,114795
16,0.26666666666666666,0.9623062092198785,0.9779121303385951,0.8390242366078223,0.8755963761022065,114711
17,0.2833333333333333,0.9610934874974122,0.9765827480093274,0.8337283784837837,0.868356286382843,114627
18,0.3,0.9598145636962754,0.9752592205542787,0.8281385361365896,0.8611760631734093,114543
19,0.31666666666666665,0.9590569325587882,0.9739415221873742,0.8248072852260879,0.8540552114525523,114459
20,0.3333333333333333,0.9579170350508909,0.9726296272361061,0.8198798641941752,0.8469932402921272,114375
21,0.35,0.9564923426469348,0.9713235101410341,0.8137260377029577,0.8399896628233534,114291
22,0.36666666666666664,0.9553494609526727,0.9700231454552867,0.8087901030948931,0.8330439962032474,114207
23,0.38333333333333336,0.9539962017636358,0.9687285078440656,0.8029132277217794,0.8261557615813345,114123
24,0.4,0.9526917007314311,0.9674395720841524,0.7971886653561022,0.8193244840666367,114039
25,0.4166666666666667,0.9514902034613473,0.9661563130634168,0.7919285751001979,0.8125496926949315,113955
26,0.43333333333333335,0.9507791310576451,0.9648787057803274,0.7887732361615749,0.8058309203962829,113871
27,0.45,0.9498083066094385,0.963606725343465,0.7845450402187819,0.7991677039628411,113787
28,0.4666666666666667,0.948693575827489,0.9623403469710372,0.7797160533308831,0.792559584016907,113703
29,0.48333333333333334,0.9476520468836,0.9610795459903958,0.7752340966776928,0.7860061049792619,113619
30,0.5,0.9465540541602621,0.9598242978375556,0.7704535105259438,0.7795068150377592,113535
31,0.5166666666666667,0.9453043146886301,0.958574578056717,0.765078245013639,0.773061266116175,113451
32,0.5333333333333333,0.9443929584588076,0.9573303622997884,0.7611919281697932,0.7666690138433166,113367
33,0.55,0.9432528611028086,0.9560916263259119,0.756376555943921,0.7603296175223871,113283
34,0.5666666666666667,0.9422933144355886,0.9548583460009921,0.752336432483946,0.7540426401006022,113199
35,0.5833333333333334,0.9413295520209866,0.9536304972972244,0.7482901088064339,0.7478076481390584,113115
36,0.6,0.9401458113620763,0.952408056292628,0.7433270062208625,0.741624211782852,113031
37,0.6166666666666667,0.939234237567097,0.9511909991705796,0.7395603382811738,0.7354919047314427,112947
38,0.6333333333333333,0.9383353375833762,0.9499793022193488,0.7358415662022896,0.7294103042092637,112863
39,0.65,0.9372581143197755,0.9487729418316366,0.7313099866049279,0.7233789909365751,112779
40,0.6666666666666666,0.9358176851280186,0.9475718945041159,0.7251742504393206,0.7173975491005572,112695
41,0.6833333333333333,0.9346927593229839,0.9463761368369725,0.7203309586786644,0.7114655663266435,112611
42,0.7,0.9339369596277884,0.9451856455334504,0.717084572849794,0.705582633650091,112527
43,0.7166666666666667,0.9331136924833745,0.9440003973993967,0.7136096431063671,0.6997483454877848,112443
44,0.7333333333333333,0.9321047630607749,0.9428203693428108,0.7093551330479436,0.693962299610276,112359
45,0.75,0.9311428135161777,0.9416455383733938,0.7052337557127549,0.6882240971140522,112275
46,0.7666666666666667,0.9301889151175107,0.9404758816021009,0.7011174091996881,0.682533342394035,112191
47,0.7833333333333333,0.9292837386336724,0.9393113762406957,0.6972574409973031,0.6768896431163063,112107
48,0.8,0.928522495702749,0.9381519996013051,0.6939633054120407,0.6712926101910605,112023
49,0.8166666666666667,0.9279247864551959,0.936997729095979,0.6914189091742243,0.665741857745779,111939
50,0.8333333333333334,0.9268102256000008,0.9358485422362485,0.6866644945410351,0.6602370030986275,111855
51,0.85,0.9255403417919948,0.9347044166326891,0.6812930828103885,0.6547776667320735,111771
52,0.8666666666666667,0.9240890224912554,0.9335653299944837,0.6751597750494849,0.6493634722667205,111687
53,0.8833333333333333,0.9231520574223718,0.9324312601289888,0.6711540413559811,0.6439940464353605,111603
54,0.9,0.9224682016521857,0.9313021849413015,0.6682470553821906,0.6386690190572393,111519
55,0.9166666666666666,0.9215888936771857,0.9301780824338297,0.6645199157150419,0.633388023012536,111435
56,0.9333333333333333,0.9207928150778504,0.9290589307058632,0.6611451591647888,0.6281506942170526,111351
57,0.95,0.9197072690923253,0.927944707953147,0.6565717557299938,0.6229566715971131,111267
58,0.9666666666666667,0.9186458744851791,0.9268353924674564,0.652104262973283,0.6178055970646705,111183
59,0.9833333333333333,0.9176188085771891,0.9257309626361745,0.64776692467341,0.6126971154926191,111099
60,1.0,0.9167034123193429,0.9246313969418707,0.6438989217561389,0.6076308746903113,111015
65,1.0833333333333333,0.9121847511793464,0.9192057840253334,0.6247457554639174,0.5829211580617547,110595
70,1.1666666666666667,0.9077373500262459,0.9138986009224204,0.6059704855856725,0.5592162786152698,110175
75,1.25,0.9030252374286535,0.9087072625573126,0.5858397492725512,0.5364753739736123,109755
80,1.3333333333333333,0.8998736289555436,0.9036292402810042,0.5722703434656032,0.5146592434554864,109335
85,1.4166666666666667,0.8958421792436817,0.8986620606396231,0.555162576933559,0.49373028050156487,108915
90,1.5,0.8920846855383286,0.893803304169636,0.5391584729920013,0.47365240784845236,108495
95,1.5833333333333333,0.8887047653616359,0.8890506042193527,0.5248467635574598,0.45439101533884063,108075
